contrat,garanties,exclusions,definitions,conditions,declencheurs,plafonds,franchises,options,cotisations,delais,fiscalite,points-vigilance,formules
Avizen,8,5,10,4,20,8,3,5,6,8,6,6,3
Avizen Pro,8,4,6,3,17,9,5,8,6,7,6,7,3
Entour'Age,4,3,6,3,6,6,2,5,7,5,5,8,2
Essen'Ciel (assurance obsèques),5,3,4,2,6,10,1,3,6,6,5,7,3
Essen'Ciel Patrimoine,2,1,0,0,0,0,0,4,0,0,1,6,0
Excelium (assurance vie),4,1,3,2,6,3,0,3,5,3,5,7,4
Ma Protection Accident (Garantie des accidents de la vie),7,8,9,2,10,6,1,1,6,6,6,5,2
Ma Retraite (plan d'épargne retraite individuel — PER),5,1,3,2,5,1,0,4,5,5,5,8,2
Masterlife CREDIT,7,7,5,3,13,10,2,3,6,6,5,7,3
